Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of
JK Tyre & Industries Ltd.,JK Tyre & Industries,Cold,"",5700,automotive,jashpalpurohit111@gmail.com,http://www.jktyre.com,http://www.linkedin.com/company/jk-tyre-&-industries-ltd-,https://facebook.com/JKTyre,https://twitter.com/JKTyreCorporate,Bahadur Shah Zafar Marg,New Delhi,Delhi,India,110002,"Bahadur Shah Zafar Marg, New Delhi, Delhi, India, 110002","motor vehicle manufacturing, tyre manufacturer, global presence, sustainable manufacturing, passenger car tyres, commercial vehicle tyres, two-wheeler tyres, off-road tyres, radial tyre technology, innovation, customer satisfaction, eco-friendly tyres, retreading services, tyre pressure monitoring, oem partnerships, durability, performance, agricultural tyres, specialty tyres, electric vehicle tyres, customer demographics, market leader, truck bus radial, advanced technology, distribution network, automotive industry, safety, reliability, high-performance tyres, customer engagement, corporate responsibility, green mobility, emerging technologies, diverse market segments, quality assurance, car tyres, truck tyres, bus tyres, radial tyres, bias tyres, commercial tyres, farm tyres, retread tyres, puncture guard, smart tyres, tyre pressure monitoring system, sustainability initiatives, fleet management, customer relationship programs, dealer portal, research and development, motorsport participation, innovation in tyre technology, international operations, quality management policies, eco-friendly manufacturing, tyre care solutions, warranty policy, customer feedback, vehicle fitness reports, tyre safety information, manufacturing facilities, global distribution network, dealer network, sales & marketing, noise reduction technology, tread design innovation, environmental sustainability, energy conservation, water management, product selector, advanced tyre technology, mysore research centre, jk tyre racing championship, karting programs, automobile partnerships, global footprint, brand development, digital marketing strategies, safety standards, carbon emission reduction, community engagement, training and development programs, automotive, research & development",'+91 11 6600 1112,"Gmail, Google Apps, Salesforce, Amazon SES, Google Tag Manager, Google Analytics Ecommerce Tracking, ASP.NET, Google Maps, YouTube, DoubleClick Conversion, Google Analytics, Google AdWords Conversion, Mobile Friendly, Google Dynamic Remarketing, Apache, Bootstrap Framework, Stripe, Microsoft-IIS, Google Remarketing, Google Font API, Google AdSense, DoubleClick, Google Play, Remote",120086000,Debt Financing,30000000,2025-01-01,1730000000,"",685fc0be58cfc3000199eb75,5531,"JK Tyre & Industries Ltd. is a prominent Indian tyre manufacturer with a strong global presence. Founded in 1951 and operational since 1974, the company is part of the JK Group and operates 12 manufacturing plants worldwide, including in India and Mexico. It produces over 30 million tyres annually and is known for its technological advancements, including being the first in India to manufacture radial tyres for commercial vehicles.

The company offers a wide range of products for various vehicle segments, including passenger vehicles, commercial vehicles, two-wheelers, and specialty tyres like the Smart Tyres, which feature embedded sensors for real-time monitoring. JK Tyre also provides retreading services to extend tyre life. With flagship brands such as JK Tyre, Vikrant, and Dunlop, the company serves both domestic and international markets, exporting to over 100 countries. Committed to sustainability, JK Tyre focuses on eco-friendly initiatives and innovative solutions in tyre manufacturing.",1974,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685900c60d62840001f34dd6/picture,""
TYRE BLADDER COMPANY LIMITED,TYRE BLADDER COMPANY LIMITED,Cold,"",6,automotive,jashpalpurohit111@gmail.com,http://www.tbc-bladder.com,http://www.linkedin.com/company/tyre-bladder-company-limited,"","",Zhi Li Dao Lu,Qingdao Shi,Shandong Sheng,China,"","Zhi Li Dao Lu, Qingdao Shi, Shandong Sheng, China","motor vehicle manufacturing, tyre bladder, tyre curing, bias tyre bladders, radial tyre bladders, otr tyre bladders, motorcycle tyre bladders, semi-steel tyre bladders, all-steel tyre bladders, curing process, vulcanization effect, air spring curing bladder, tyre manufacturer, computer controlled equipment, production efficiency, bladder design, bladder lifespan, tyre industry, quality assurance, manufacturer warranty, export market, long-term partnership, advanced technology, product specifications, tire curing press, bladder production line, industry news, technological innovation, customer service, feedback, file downloads, help documents, qingdao city, container shipping port, international trade, iso standards, manufacturing standards, custom bladders, bladder types, premium quality bladders, affordable pricing, tailored solutions, hydraulic curing, pressure management, durability testing, safety measures, innovation in design, market reputation, automotive",'+86 136 8764 9140,"Mobile Friendly, Remote","","","","","","",685fc0be58cfc3000199eb88,"","Tyre Bladder Company Limited (TBC Ltd) is a manufacturer of tyre curing bladders based in Qingdao City, Shandong Province, China. Established in 2000, the company has developed a strong reputation in the tyre industry. Its location in Qingdao, a major container shipping port, provides logistical advantages for international operations.

TBC Ltd specializes in producing tyre curing bladders, which are essential for the vulcanization process in tyre manufacturing. These bladders help shape and cure tyres, ensuring quality and performance. The company likely offers customized solutions to meet the specific needs of its clients in the tyre manufacturing and retreading sectors. TBC Ltd is recognized as a leading supplier, contributing significantly to the global tyre industry.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f0e11c2f044d00017cae0a/picture,""
Tyre Stewardship Australia,Tyre Stewardship Australia,Cold,"",28,environmental services,jashpalpurohit111@gmail.com,http://www.tyrestewardship.org.au,http://www.linkedin.com/company/tyre-stewardship-australia,https://www.facebook.com/tyrestewardshipau,"","",Richmond,Victoria,Australia,3121,"Richmond, Victoria, Australia, 3121","circular economy, sustainability, otr tyres, mining, recycling, used tyres, product stewardship, research & development, innovation, market development, waste tyres, local government, agriculture, tyre recycling, tyre retreading, endoflife tyres, end-of-life tyres, sustainable outcomes, tyre product stewardship scheme, tpss, tyre accreditation, recycled tyre products, funding applications, tyre retailers, tyre collectors, tyre recyclers, carbon emissions, waste management, innovation initiatives, project funding, foreign end market verification, recycling strategies, safety standards, environmental impact, resource recovery, used tyre collection, crumb rubber, automotive partnerships, sustainable practices, environmental regulations, less landfill, community engagement, tyre-derived material, product development, supply chain, australian standards, collaborative projects, industry partnerships, sustainability reporting, market opportunities, research and development, training programs, technical guidance, environmentally friendly, waste reduction, innovative materials, lightweight composites, performance metrics, safety evaluations, life cycle assessments, best practices, industry certifications, carbon neutral operations, environmental services, renewables & environment",'+61 3 9977 7820,"Route 53, MailJet, Outlook, Google Cloud Hosting, The Trade Desk, Google Tag Manager, BugHerd, Facebook Login (Connect), Google Dynamic Remarketing, Google Analytics, reCAPTCHA, Facebook Widget, Nginx, DoubleClick Conversion, Facebook Custom Audiences, Google Font API, WordPress.org, Gravity Forms, DoubleClick, Shutterstock, YouTube, Mobile Friendly, Apache","","","","","","",685fc0be58cfc3000199eb7c,"","Tyre Stewardship Australia (TSA) is a national organization founded in 2014 to implement Australia’s National Tyre Product Stewardship Scheme. TSA focuses on sustainable management of end-of-life tyres by collaborating with over 1,700 accredited participants, including tyre retailers, recyclers, manufacturers, fleet operators, and local councils. The organization aims to minimize waste and promote circular economy solutions for tyres.

TSA operates throughout the tyre recovery supply chain, emphasizing market development for recycled tyre products, conducting research to advance recycling technologies, and partnering with mining companies to tackle sustainability challenges related to off-the-road tyres. TSA also supports the commercialization of tyre-derived materials through funding initiatives and showcases successful projects that repurpose tyres into various applications. The organization has achieved ISO certification and carbon-neutral status, reflecting its commitment to sustainability and environmental responsibility.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68397c1ec0ef450001867e95/picture,""
Micheldever Tyre Services,Micheldever Tyre Services,Cold,"",500,automotive,jashpalpurohit111@gmail.com,http://www.micheldevergroup.co.uk,http://www.linkedin.com/company/micheldever-tyre-services-ltd,https://facebook.com/micheldever,https://twitter.com/MTS_Marketing,3 Mill Rd,Winchester,New Hampshire,United States,03470-4805,"3 Mill Rd, Winchester, New Hampshire, United States, 03470-4805","",'+44 196 277 4437,"Outlook, Microsoft Office 365, ASP.NET, Microsoft-IIS, Vimeo, Google Tag Manager, Facebook Widget, Nginx, Facebook Login (Connect), Mobile Friendly, Google Font API, Ubuntu, Klarna, Trustpilot, Bootstrap Framework, Remote","","","","",534757000,1,685fc0be58cfc3000199eb7b,"3714, 5531","Micheldever Tyre Services is a private limited company and part of the Micheldever Group, the largest tyre wholesaler in the UK. Established in 1972, the company is headquartered in Micheldever Station, Winchester, Hampshire. It was incorporated on May 18, 1984, and operates a nationwide network of independent fast fit and mechanical services.

The company specializes in the wholesale and retail trade of motor vehicle parts and accessories, with a strong focus on tyres. Micheldever Tyre Services supplies a variety of well-known tyre brands, including Michelin, Pirelli, Continental, Bridgestone, and Dunlop. In addition to tyre supply, it likely offers mechanical services through its extensive network of fast fit centers, catering to both individual vehicle owners and commercial fleets across the UK.",1972,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685d26dfae21ef000132bb0f/picture,Sumitomo Rubber USA (srigroup.co.jp)
Sailun Tyre Europe,Sailun Tyre Europe,Cold,"",25,automotive,jashpalpurohit111@gmail.com,"",http://www.linkedin.com/company/sailun-group-europe,"","","",Frankfurt,Hesse,Germany,"","Frankfurt, Hesse, Germany","reifen, lkwreifen, pkwreifen, motor vehicle parts manufacturing, automotive","","Amazon CloudFront, Amazon Elastic Load Balancer, Amazon AWS, Vimeo, Apache, Baidu Ads, Adobe Media Optimizer, Mobile Friendly, JQuery 1.11.1, Cedexis Radar","","","","","","",685fc0be58cfc3000199eb82,"","Sailun Tyre Europe is a subsidiary of the Sailun Group, a leading global tire manufacturer. The company operates from its base in Frankfurt am Main, Germany, and is dedicated to providing business solutions and customer support across Europe. Sailun has modern manufacturing facilities in China and Vietnam, producing a diverse range of tires.

The product lineup includes passenger car tires, truck and bus radial tires, off-the-road tires for heavy machinery, and specialty tires for agricultural and industrial applications. Sailun emphasizes innovation and technology, collaborating with international institutions to develop advanced tire solutions, including those for electric and hydrogen vehicles. With a strong global presence, Sailun products are sold in over 150 countries, achieving significant sales in Europe. The company is committed to delivering quality and affordability while ensuring high customer satisfaction.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6859f183df086a0001d2dae8/picture,""
Guildford Tyre Company Ltd.,Guildford Tyre Company,Cold,"",10,automotive,jashpalpurohit111@gmail.com,http://www.guildfordtyre.co.uk,http://www.linkedin.com/company/guildford-tyre-company-ltd.,https://facebook.com/pages/Guildford-Tyre-Company-Ltd/164643116967516,https://twitter.com/gtctyres,13 Woodbridge Meadows,Guildford,England,United Kingdom,GU1 1BA,"13 Woodbridge Meadows, Guildford, England, United Kingdom, GU1 1BA","motor vehicle manufacturing, tyres, tyre fitting, mot, servicing, wheel alignment, diagnostics, air conditioning, brakes, exhausts, steering suspension, batteries, puncture repairs, electric tyres, hybrid tyres, motorcycle tyres, motorhome tyres, caravan tyres, winter tyres, 4x4 tyres, suv tyres, roadside assistance, mobile tyre fitting, same day service, tyre brands, ac recharge, vehicle maintenance, car diagnostics, trade delivery, wholesale tyres, customer satisfaction, family business, independent tyre specialist, tire management system, car repairs, vehicle servicing, premium tyres, budget tyres, mid-range tyres, telematics integration, wheel balancing, preventive maintenance, automotive repair, full mechanical service, automotive service center, customer support, in-store service, online booking, automotive, hvac, hardware","","Outlook, Mobile Friendly, Google Font API, Apache, WordPress.org, Google Tag Manager, Reviews","","","","","","",685fc0be58cfc3000199eb77,3537,"Guildford Tyre Company Ltd. is a private limited company based in Guildford, Surrey, established in 1976. Originally named Christie and Brown Limited, the company rebranded to its current name in 1988. It is recognized as Surrey's leading independent tyre specialist, focusing on the wholesale trade of motor vehicle parts and accessories, particularly tyres.

The company offers a wide range of tyre services and products, featuring well-known brands like Dunlop. Guildford Tyre Company Ltd. prides itself on understanding customer needs and providing personalized service, reflecting its family-owned and operated ethos. With a strong presence in the industry since 1967, the company is committed to quality and customer satisfaction.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67299e56d3b5de0001ba063c/picture,""
The Tyre Collective,The Tyre Collective,Cold,"",14,environmental services,jashpalpurohit111@gmail.com,http://www.thetyrecollective.com,http://www.linkedin.com/company/thetyrecollective,https://www.facebook.com/thetyrecollective,"","",London,"",United Kingdom,"","London, United Kingdom","tyre wear, pollution capture, electrostatics, air quality improvement, microplastics, sustainable mobility, zero-emission, environmental technology, closed-loop system, pm pollution, upcycling, research partnerships, toxicology studies, automotive sustainability, vehicle emissions, microplastic pollutant, industrial applications, consumer applications, bitumen production, airborne particles, clean-tech innovation, transport pollution, health impact, pollution monitoring, environmental impact, cleaner environment, particulate matter, commercial fleets, retrofit solutions, fleet sustainability, transportation industry, particle capture device, eco-friendly solutions, urban mobility, engineering solutions, particulate capture technology, waste management, pollution pathways, marine life protection, community engagement, sustainability reporting, environmental awareness, regulatory compliance, green jobs, b-corp certification, sustainable practices, interdisciplinary collaboration, innovative solutions, supply chain responsibility, product development","","NSOne, Gmail, Google Apps, YouTube, Google Tag Manager, WordPress.org, Linkedin Marketing Solutions, Squarespace ECommerce, Typekit, Mobile Friendly, Remote, Basis","","","","","","",685fc0be58cfc3000199eb80,"","The Tyre Collective is a clean-tech start-up based in London, founded in 2020. The company focuses on reducing the environmental impact of tyre wear, which contributes significantly to microplastic pollution and air quality issues. Their mission is to promote zero-emission mobility through innovative solutions that capture and monitor tyre wear.

The Tyre Collective has developed a patent-pending device that captures tyre wear particles using electrostatics and airflow. This technology can be retrofitted to existing vehicles and is also planned for integration into new electric vehicles. The captured particles can be upcycled into products like bitumen and shoe soles, creating a closed-loop system. Additionally, their technology connects to a cloud platform for real-time monitoring, helping fleet operators and manufacturers optimize tyre wear capture and comply with environmental regulations.

The company is a Certified B Corporation, reflecting its commitment to social and environmental responsibility. It has also received recognition through the James Dyson Award for its innovative approach to tackling tyre wear pollution.",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685e99bbad41e400019b0b68/picture,""
Tiger Wheel & Tyre,Tiger Wheel & Tyre,Cold,"",810,automotive,jashpalpurohit111@gmail.com,http://www.twt.co.za,http://www.linkedin.com/company/tiger-wheel-&-tyre,https://web.facebook.com/TigerWheelnTyre/,https://twitter.com/TigerWheelnTyre,"",Johannesburg,Gauteng,South Africa,1804,"Johannesburg, Gauteng, South Africa, 1804","tyres, alloy wheels, automotive batteries, tyre balancing, alignment, tyre rotation, nitrogen, vehicle safety check, book a bay, buy tyres online, vehicle repair & maintenance, wheels, batteries, automotive fitment, 4x4, passenger vehicle, suv, light truck, tyre care, tyre maintenance, wheel alignment, wheel balancing, nitrogen fill-up, puncture repairs, vehicle assessments, fleet solutions, premium brands, affordable prices, tyre warranties, credit options, xpress credit, custom wheels, vehicle accessories, hankook, bridgestone, michelin, goodyear, continental, pirelli, yokohama, bfgoodrich, tyre size finder, tyre load index, tyre speed rating, original equipment tyres, importance of balancing, rotation, alignment services, customer reward programs, vehicle repairs, car basics course, instore promotions, online shopping, secure payment options, fleet maintenance, fleet management, value-added services, automotive, hardware, e-commerce, consumer internet, consumers, internet, information technology & services",'+27 11 256 4040,"Cloudflare DNS, Mimecast, Outlook, CloudFlare Hosting, Mobile Friendly, Woo Commerce, reCAPTCHA, Facebook Widget, Gravity Forms, Google Tag Manager, WordPress.org, Facebook Login (Connect), Facebook Custom Audiences, Remote, Circle","","","","",45000000,"",685fc0be58cfc3000199eb78,5531,"Tiger Wheel & Tyre is a prominent automotive service provider and retailer under TiAuto Investments (PTY) Ltd, specializing in wheels, tyres, batteries, and accessories. Established in 1967, the company has expanded to over 100 locations across Southern Africa, including new stores in Namibia. 

The company is dedicated to service excellence, featuring modern stores equipped with advanced fitment tools. They offer professional installation of tyres, wheels, and batteries, along with comprehensive vehicle safety checks. Customers benefit from flexible financing options and can request online quotes for products and services. Tiger Wheel & Tyre provides a wide range of premium tyres, alloy wheels, reliable automotive batteries, and various accessories to enhance vehicle performance. With a strong focus on customer satisfaction, the company has received over 120 industry awards and continues to grow, recently launching six new stores in six weeks to meet increasing demand.",1967,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6858c365879649000191598e/picture,The Carlyle Group (carlyle.com)
Tyréns AB,Tyréns AB,Cold,"",2500,information technology & services,jashpalpurohit111@gmail.com,http://www.tyrens.se,http://www.linkedin.com/company/tyrens-ab,https://sv-se.facebook.com/tyrensab,https://twitter.com/tyrens_ab,44 Folkungagatan,Stockholm,Stockholm County,Sweden,118 26,"44 Folkungagatan, Stockholm, Stockholm County, Sweden, 118 26","acoustics, analysis, strategy, planning, electrics, light, telecom, rock, fire, safety, risk, energy, remediation, geotechnics, road, git, structural engineering, cultural heritage, landscape, environment, project management, traffic, water, bridges, rail engineering, hvac, engineering services, urban development, infrastructure consulting, sustainable solutions, community development, property development, structural planning, design services, it solutions, digital transformation, multidisciplinary consultancy, research and development, housing projects, public sector clients, private sector clients, architectural services, civil engineering, environmental planning, innovation, collaboration, sweden, uk, lithuania, estonia, poland, canada, consulting services, built environment, customer experience, cloud services, microsoft azure, adobe experience cloud, bim technology, community planning, urban planning, infrastructure design, consultancy expertise, sustainable urban environments, sustainable development, infrastructure solutions, building information modeling, acoustic consulting, heritage preservation, environmental engineering, geotechnical services, traffic management, digital solutions, waste management, 3d modeling, climate risk analysis, energy efficiency, construction management, sustainable architecture, fire safety engineering, risk management, landscape architecture, transportation planning, rehabilitation projects, data handling, digital property development, proactive climate analysis, noise reduction, resilient communities, spatial analysis, design visualization, environmental sustainability, community engagement, geographic information technology, pollution control, smart waste handling, site assessment, historical renovation, acoustic design, construction inspection, urban resilience, public infrastructure, geological investigations, dam design, railway construction, communication systems, environmental consulting, innovative technologies, productivity, natural resources, information technology & services, research & development, management consulting, cloud computing, enterprise software, enterprises, computer software, b2b, sustainability, environmental services, renewables & environment, architecture & planning",'+46 10 452 20 00,"Rackspace MailGun, Outlook, Act-On, Microsoft Office 365, Facebook Login (Connect), Hubspot, Mobile Friendly, Facebook Custom Audiences, ASP.NET, Linkedin Marketing Solutions, reCAPTCHA, Facebook Widget, Google Tag Manager, Microsoft-IIS","","","","",128000000,"",685fc0be58cfc3000199eb89,"","Tyréns AB is a prominent consulting company in Sweden, focusing on urban and rural development. Owned by the Sven Tyréns Trust, the company emphasizes long-term projects and invests significantly in research and development. With a workforce of over 3,000 employees, Tyréns operates in several countries, including Sweden, Denmark, England, Estonia, Lithuania, Poland, and Bulgaria.

The company offers a wide range of consulting services, including structural planning and design, innovative infrastructure solutions, IT services tailored to urban development, and property development and management consulting. Tyréns is dedicated to creating sustainable solutions and collaborates closely with clients in both the public and private sectors to enhance urban environments and infrastructure. Their vision is to lead in housing, property development, infrastructure, and IT, with a strong commitment to research and development in urban development.",1942,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685ab6e22d0c3300015c81a1/picture,""
Triangle Tyre,Triangle Tyre,Cold,"",420,automotive,jashpalpurohit111@gmail.com,http://www.triangle.com.cn,http://www.linkedin.com/company/triangle-tyre,"","","",Qingdao,Shandong,China,"","Qingdao, Shandong, China","tyre design, distribution & global sales, tbr tyres, wbr tyres, production, otr tures, motor vehicle manufacturing, tire size, search by tire size, model identification, tire specifications, automotive components, replacement tires, tire fitting, performance tires, high performance tires, tire ratings, tread patterns, tire measurements, tire inventory, tire part numbers, tire technology, tire durability, load ratings, tire registration, tire maintenance, seasonal tires, all-season tires, winter tires, performance metrics, tire solutions, tire customization, tire sourcing, tire compatibility, tire safe practices, tire recycling, environmentally-friendly tires, global distribution, tire design, tire manufacturing, truck tires, suv tires, off-road tires, road safety, tire rotations, tire warranties, tire performance testing, tire pressure monitoring, tire comparisons, wheel alignment, tire consulting, tire innovation, customer service, retail partnerships, tire show, tire exhibitions, automotive",'+86 631 532 2983,"Mobile Friendly, Cedexis Radar, Apache, Adobe Media Optimizer, Vimeo, AI","","","","","","",685fc0be58cfc3000199eb79,"","Triangle Tyre, founded in 1976 in Shandong Province, China, has grown into a prominent global tire manufacturer. Initially supplying small tires for street-sweepers and rubbish carts, the company now offers over 900 types of radial tires across more than 280 sizes. Their product range includes tires for passenger cars, SUVs, light trucks, buses, and off-the-road vehicles, as well as specialized tires for civil aviation.

The company has a strong presence in the domestic market and is expanding internationally, operating in over 160 countries. In 2017, Triangle Tyre opened its first international manufacturing plant in Tennessee, USA. With a production capacity exceeding 30 million tires annually and a workforce of around 25,000, Triangle Tyre reported a revenue of approximately RMB 25.62 billion in 2022. The company prioritizes research and development, collaborating with institutions to innovate and enhance its tire technology.",1976,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/683b4a11d52ab100014c7a40/picture,""
